text,label,clean_text
আজকের দিনটা আজকাল খারাপ লাগছে,sad,আজকের দিনটা আজকাল খারাপ লাগছে
এই পোস্টটা কমেন্ট পড়ার পর মনে হয় কেউ বোঝে না,depression,এই পোস্টটা কমেন্ট পড়ার পর মনে হয় কেউ বোঝে না
এই গল্পটা ভাবতে বসে মনটা খারাপ করে দিল,sad,এই গল্পটা ভাবতে বসে মনটা খারাপ করে দিল
এই পোস্টটা সত্যি বলতে বুঝতে চেষ্টা করছি,neutral,এই পোস্টটা সত্যি বলতে বুঝতে চেষ্টা করছি
ভিডিওটা আজকাল দুঃখ পেলাম,sad,ভিডিওটা আজকাল দুঃখ পেলাম
আজকে দেখার পর কোনো আগ্রহ পাই না,depression,আজকে দেখার পর কোনো আগ্রহ পাই না
আজকের দিনটা সত্যি বলতে সত্যিই উপভোগ করেছি,happy,আজকের দিনটা সত্যি বলতে সত্যিই উপভোগ করেছি
এই ব্লগটা ভাবতে বসে নোট করলাম,neutral,এই ব্লগটা ভাবতে বসে নোট করলাম
এই খবরটা দেখার পর অসাধারণ হয়েছে,happy,এই খবরটা দেখার পর অসাধারণ হয়েছে
এই গল্পটা শেষ পর্যন্ত দুঃখ পেলাম,sad,এই গল্পটা শেষ পর্যন্ত দুঃখ পেলাম
আজকে পুরোটা দেখে মনটা ভালো করে দিল,happy,আজকে পুরোটা দেখে মনটা ভালো করে দিল
আজকের দিনটা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে,depression,আজকের দিনটা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে
এই গল্পটা পুরোটা দেখে দুঃখ পেলাম,sad,এই গল্পটা পুরোটা দেখে দুঃখ পেলাম
ভিডিওটা কমেন্ট পড়ার পর দুঃখ পেলাম,sad,ভিডিওটা কমেন্ট পড়ার পর দুঃখ পেলাম
আজকে শেষ পর্যন্ত ঠিক আছে,neutral,আজকে শেষ পর্যন্ত ঠিক আছে
এই খবরটা দেখার পর দারুণ লেগেছে,happy,এই খবরটা দেখার পর দারুণ লেগেছে
এই খবরটা পুরোটা দেখে পড়লাম,neutral,এই খবরটা পুরোটা দেখে পড়লাম
এই ব্লগটা শেষ পর্যন্ত খুব কষ্ট লাগলো,sad,এই ব্লগটা শেষ পর্যন্ত খুব কষ্ট লাগলো
এই বিষয়টা আজকাল কিছু করতে ইচ্ছা করে না,depression,এই বিষয়টা আজকাল কিছু করতে ইচ্ছা করে না
এই পোস্টটা সত্যি বলতে কোনো আগ্রহ পাই না,depression,এই পোস্টটা সত্যি বলতে কোনো আগ্রহ পাই না
আজকে শেষ পর্যন্ত পড়লাম,neutral,আজকে শেষ পর্যন্ত পড়লাম
ভিডিওটা কমেন্ট পড়ার পর অসাধারণ হয়েছে,happy,ভিডিওটা কমেন্ট পড়ার পর অসাধারণ হয়েছে
এই টপিকটা আজকাল ভবিষ্যৎটা অন্ধকার লাগে,depression,এই টপিকটা আজকাল ভবিষ্যৎটা অন্ধকার লাগে
কমেন্টগুলো পুরোটা দেখে সত্যিই উপভোগ করেছি,happy,কমেন্টগুলো পুরোটা দেখে সত্যিই উপভোগ করেছি
এই টপিকটা দেখার পর বুঝতে চেষ্টা করছি,neutral,এই টপিকটা দেখার পর বুঝতে চেষ্টা করছি
আজকে আজকাল অসাধারণ হয়েছে,happy,আজকে আজকাল অসাধারণ হয়েছে
কমেন্টগুলো আজ খারাপ লাগছে,sad,কমেন্টগুলো আজ খারাপ লাগছে
আজকের দিনটা কমেন্ট পড়ার পর খুব ভালো লাগলো,happy,আজকের দিনটা কমেন্ট পড়ার পর খুব ভালো লাগলো
এই খবরটা আজকাল খারাপ খবর মনে হলো,sad,এই খবরটা আজকাল খারাপ খবর মনে হলো
কমেন্টগুলো শেষ পর্যন্ত দুঃখ পেলাম,sad,কমেন্টগুলো শেষ পর্যন্ত দুঃখ পেলাম
ভিডিওটা পুরোটা দেখে মোটামুটি লাগলো,neutral,ভিডিওটা পুরোটা দেখে মোটামুটি লাগলো
এই গল্পটা আজ খুব কষ্ট লাগলো,sad,এই গল্পটা আজ খুব কষ্ট লাগলো
এই বিষয়টা দেখার পর দুঃখ পেলাম,sad,এই বিষয়টা দেখার পর দুঃখ পেলাম
এই বিষয়টা আজ অসাধারণ হয়েছে,happy,এই বিষয়টা আজ অসাধারণ হয়েছে
এই গল্পটা সত্যি বলতে ঠিক আছে,neutral,এই গল্পটা সত্যি বলতে ঠিক আছে
এই পোস্টটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে,depression,এই পোস্টটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে
এই টপিকটা আজকাল দুঃখ পেলাম,sad,এই টপিকটা আজকাল দুঃখ পেলাম
এই টপিকটা শেষ পর্যন্ত অনেক আনন্দ দিল,happy,এই টপিকটা শেষ পর্যন্ত অনেক আনন্দ দিল
আজকের দিনটা আজকাল খুবই দুঃখজনক,sad,আজকের দিনটা আজকাল খুবই দুঃখজনক
এই ব্লগটা আজকাল দুঃখ পেলাম,sad,এই ব্লগটা আজকাল দুঃখ পেলাম
এই গল্পটা আজকাল আরও জানা দরকার,neutral,এই গল্পটা আজকাল আরও জানা দরকার
কমেন্টগুলো সত্যি বলতে মনটা খারাপ করে দিল,sad,কমেন্টগুলো সত্যি বলতে মনটা খারাপ করে দিল
এই খবরটা আজকাল মোটামুটি লাগলো,neutral,এই খবরটা আজকাল মোটামুটি লাগলো
এই খবরটা কমেন্ট পড়ার পর খুব অনুপ্রাণিত করলো,happy,এই খবরটা কমেন্ট পড়ার পর খুব অনুপ্রাণিত করলো
আজকের দিনটা আজ খুব কষ্ট লাগলো,sad,আজকের দিনটা আজ খুব কষ্ট লাগলো
এই টপিকটা দেখার পর কিছুই ভালো লাগে না,depression,এই টপিকটা দেখার পর কিছুই ভালো লাগে না
এই ব্লগটা দেখার পর খারাপ লাগছে,sad,এই ব্লগটা দেখার পর খারাপ লাগছে
ভিডিওটা দেখার পর খারাপ লাগছে,sad,ভিডিওটা দেখার পর খারাপ লাগছে
এই পোস্টটা দেখার পর দুঃখ পেলাম,sad,এই পোস্টটা দেখার পর দুঃখ পেলাম
আজকে শেষ পর্যন্ত সবকিছু খুব ভারী লাগে,depression,আজকে শেষ পর্যন্ত সবকিছু খুব ভারী লাগে
আজকে শেষ পর্যন্ত খুব কষ্ট লাগলো,sad,আজকে শেষ পর্যন্ত খুব কষ্ট লাগলো
এই পোস্টটা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে,depression,এই পোস্টটা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে
কমেন্টগুলো ভাবতে বসে দারুণ লেগেছে,happy,কমেন্টগুলো ভাবতে বসে দারুণ লেগেছে
এই খবরটা আজ সবকিছু খুব ভারী লাগে,depression,এই খবরটা আজ সবকিছু খুব ভারী লাগে
আজকের দিনটা দেখার পর অনেক আনন্দ দিল,happy,আজকের দিনটা দেখার পর অনেক আনন্দ দিল
আজকে কমেন্ট পড়ার পর কিছু করতে ইচ্ছা করে না,depression,আজকে কমেন্ট পড়ার পর কিছু করতে ইচ্ছা করে না
এই পোস্টটা ভাবতে বসে সবকিছু অর্থহীন লাগে,depression,এই পোস্টটা ভাবতে বসে সবকিছু অর্থহীন লাগে
কমেন্টগুলো কমেন্ট পড়ার পর মাঝামাঝি মনে হলো,neutral,কমেন্টগুলো কমেন্ট পড়ার পর মাঝামাঝি মনে হলো
এই ব্লগটা কমেন্ট পড়ার পর সবকিছু অর্থহীন লাগে,depression,এই ব্লগটা কমেন্ট পড়ার পর সবকিছু অর্থহীন লাগে
এই গল্পটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে,depression,এই গল্পটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে
এই ব্লগটা শেষ পর্যন্ত সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,এই ব্লগটা শেষ পর্যন্ত সবকিছু ছেড়ে দিতে ইচ্ছা করে
এই ব্লগটা আজকাল ভীষণ পছন্দ হয়েছে,happy,এই ব্লগটা আজকাল ভীষণ পছন্দ হয়েছে
কমেন্টগুলো সত্যি বলতে খুব অনুপ্রাণিত করলো,happy,কমেন্টগুলো সত্যি বলতে খুব অনুপ্রাণিত করলো
এই বিষয়টা শেষ পর্যন্ত আরও জানা দরকার,neutral,এই বিষয়টা শেষ পর্যন্ত আরও জানা দরকার
এই বিষয়টা কমেন্ট পড়ার পর ঠিকই আছে,neutral,এই বিষয়টা কমেন্ট পড়ার পর ঠিকই আছে
এই বিষয়টা সত্যি বলতে খুব ভালো লাগলো,happy,এই বিষয়টা সত্যি বলতে খুব ভালো লাগলো
কমেন্টগুলো দেখার পর পড়লাম,neutral,কমেন্টগুলো দেখার পর পড়লাম
এই খবরটা সত্যি বলতে খারাপ খবর মনে হলো,sad,এই খবরটা সত্যি বলতে খারাপ খবর মনে হলো
আজকের দিনটা দেখার পর মাঝামাঝি মনে হলো,neutral,আজকের দিনটা দেখার পর মাঝামাঝি মনে হলো
এই গল্পটা আজকাল খারাপ না,neutral,এই গল্পটা আজকাল খারাপ না
আজকে পুরোটা দেখে কিছুই ভালো লাগে না,depression,আজকে পুরোটা দেখে কিছুই ভালো লাগে না
এই টপিকটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression,এই টপিকটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না
এই টপিকটা সত্যি বলতে কিছুই ভালো লাগে না,depression,এই টপিকটা সত্যি বলতে কিছুই ভালো লাগে না
এই বিষয়টা শেষ পর্যন্ত খুব ভালো লাগলো,happy,এই বিষয়টা শেষ পর্যন্ত খুব ভালো লাগলো
এই গল্পটা ভাবতে বসে খারাপ না,neutral,এই গল্পটা ভাবতে বসে খারাপ না
এই বিষয়টা দেখার পর মাঝামাঝি মনে হলো,neutral,এই বিষয়টা দেখার পর মাঝামাঝি মনে হলো
আজকে আজ ঠিকই আছে,neutral,আজকে আজ ঠিকই আছে
এই খবরটা কমেন্ট পড়ার পর দেখলাম,neutral,এই খবরটা কমেন্ট পড়ার পর দেখলাম
আজকের দিনটা দেখার পর কোনো আগ্রহ পাই না,depression,আজকের দিনটা দেখার পর কোনো আগ্রহ পাই না
আজকের দিনটা পুরোটা দেখে মনটা ভারী হয়ে গেল,sad,আজকের দিনটা পুরোটা দেখে মনটা ভারী হয়ে গেল
এই পোস্টটা পুরোটা দেখে খুবই দুঃখজনক,sad,এই পোস্টটা পুরোটা দেখে খুবই দুঃখজনক
এই খবরটা ভাবতে বসে মনটা ভালো করে দিল,happy,এই খবরটা ভাবতে বসে মনটা ভালো করে দিল
কমেন্টগুলো শেষ পর্যন্ত ভীষণ পছন্দ হয়েছে,happy,কমেন্টগুলো শেষ পর্যন্ত ভীষণ পছন্দ হয়েছে
কমেন্টগুলো পুরোটা দেখে মাঝামাঝি মনে হলো,neutral,কমেন্টগুলো পুরোটা দেখে মাঝামাঝি মনে হলো
এই গল্পটা শেষ পর্যন্ত নিজেকে খুব একা মনে হয়,depression,এই গল্পটা শেষ পর্যন্ত নিজেকে খুব একা মনে হয়
এই টপিকটা আজকাল খারাপ খবর মনে হলো,sad,এই টপিকটা আজকাল খারাপ খবর মনে হলো
এই পোস্টটা আজকাল আরও জানা দরকার,neutral,এই পোস্টটা আজকাল আরও জানা দরকার
এই গল্পটা সত্যি বলতে বুঝতে চেষ্টা করছি,neutral,এই গল্পটা সত্যি বলতে বুঝতে চেষ্টা করছি
এই ব্লগটা পুরোটা দেখে সত্যিই উপভোগ করেছি,happy,এই ব্লগটা পুরোটা দেখে সত্যিই উপভোগ করেছি
এই গল্পটা ভাবতে বসে খারাপ লাগছে,sad,এই গল্পটা ভাবতে বসে খারাপ লাগছে
কমেন্টগুলো পুরোটা দেখে সবকিছু খুব ভারী লাগে,depression,কমেন্টগুলো পুরোটা দেখে সবকিছু খুব ভারী লাগে
আজকের দিনটা সত্যি বলতে খারাপ খবর মনে হলো,sad,আজকের দিনটা সত্যি বলতে খারাপ খবর মনে হলো
ভিডিওটা আজকাল খুবই দুঃখজনক,sad,ভিডিওটা আজকাল খুবই দুঃখজনক
ভিডিওটা আজ সবকিছু খুব ভারী লাগে,depression,ভিডিওটা আজ সবকিছু খুব ভারী লাগে
এই ব্লগটা কমেন্ট পড়ার পর অনেক আনন্দ দিল,happy,এই ব্লগটা কমেন্ট পড়ার পর অনেক আনন্দ দিল
আজকের দিনটা সত্যি বলতে অসাধারণ হয়েছে,happy,আজকের দিনটা সত্যি বলতে অসাধারণ হয়েছে
এই ব্লগটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad,এই ব্লগটা সত্যি বলতে মনটা ভারী হয়ে গেল
এই ব্লগটা দেখার পর খুব কষ্ট লাগলো,sad,এই ব্লগটা দেখার পর খুব কষ্ট লাগলো
এই পোস্টটা পুরোটা দেখে মন খারাপ হয়ে গেল,sad,এই পোস্টটা পুরোটা দেখে মন খারাপ হয়ে গেল
কমেন্টগুলো ভাবতে বসে নিজেকে খুব একা মনে হয়,depression,কমেন্টগুলো ভাবতে বসে নিজেকে খুব একা মনে হয়
আজকের দিনটা দেখার পর খুবই সুন্দর,happy,আজকের দিনটা দেখার পর খুবই সুন্দর
এই বিষয়টা আজ খুবই সুন্দর,happy,এই বিষয়টা আজ খুবই সুন্দর
এই ব্লগটা কমেন্ট পড়ার পর ঠিক আছে,neutral,এই ব্লগটা কমেন্ট পড়ার পর ঠিক আছে
কমেন্টগুলো দেখার পর জীবনটা খুব ফাঁকা লাগে,depression,কমেন্টগুলো দেখার পর জীবনটা খুব ফাঁকা লাগে
আজকে আজকাল হতাশ লাগছে,sad,আজকে আজকাল হতাশ লাগছে
কমেন্টগুলো ভাবতে বসে ঠিকই আছে,neutral,কমেন্টগুলো ভাবতে বসে ঠিকই আছে
এই গল্পটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral,এই গল্পটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি
এই গল্পটা ভাবতে বসে হতাশ লাগছে,sad,এই গল্পটা ভাবতে বসে হতাশ লাগছে
এই গল্পটা ভাবতে বসে মনটা ভারী হয়ে গেল,sad,এই গল্পটা ভাবতে বসে মনটা ভারী হয়ে গেল
এই গল্পটা আজ দারুণ কাজ,happy,এই গল্পটা আজ দারুণ কাজ
এই খবরটা আজ কিছু করতে ইচ্ছা করে না,depression,এই খবরটা আজ কিছু করতে ইচ্ছা করে না
এই খবরটা পুরোটা দেখে ঠিক আছে,neutral,এই খবরটা পুরোটা দেখে ঠিক আছে
এই খবরটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে,depression,এই খবরটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে
এই বিষয়টা সত্যি বলতে অসাধারণ হয়েছে,happy,এই বিষয়টা সত্যি বলতে অসাধারণ হয়েছে
এই ব্লগটা সত্যি বলতে ভীষণ পছন্দ হয়েছে,happy,এই ব্লগটা সত্যি বলতে ভীষণ পছন্দ হয়েছে
এই বিষয়টা সত্যি বলতে দারুণ কাজ,happy,এই বিষয়টা সত্যি বলতে দারুণ কাজ
আজকের দিনটা ভাবতে বসে নিজেকে খুব একা মনে হয়,depression,আজকের দিনটা ভাবতে বসে নিজেকে খুব একা মনে হয়
এই খবরটা শেষ পর্যন্ত কোনো আগ্রহ পাই না,depression,এই খবরটা শেষ পর্যন্ত কোনো আগ্রহ পাই না
এই ব্লগটা আজ দারুণ কাজ,happy,এই ব্লগটা আজ দারুণ কাজ
ভিডিওটা সত্যি বলতে সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression,ভিডিওটা সত্যি বলতে সবকিছু ছেড়ে দিতে ইচ্ছা করে
এই পোস্টটা ভাবতে বসে মনটা ভারী হয়ে গেল,sad,এই পোস্টটা ভাবতে বসে মনটা ভারী হয়ে গেল
এই ব্লগটা সত্যি বলতে মাঝামাঝি মনে হলো,neutral,এই ব্লগটা সত্যি বলতে মাঝামাঝি মনে হলো
এই টপিকটা দেখার পর সত্যিই উপভোগ করেছি,happy,এই টপিকটা দেখার পর সত্যিই উপভোগ করেছি
কমেন্টগুলো ভাবতে বসে মোটামুটি লাগলো,neutral,কমেন্টগুলো ভাবতে বসে মোটামুটি লাগলো
এই ব্লগটা সত্যি বলতে খুব কষ্ট লাগলো,sad,এই ব্লগটা সত্যি বলতে খুব কষ্ট লাগলো
ভিডিওটা কমেন্ট পড়ার পর খুব অনুপ্রাণিত করলো,happy,ভিডিওটা কমেন্ট পড়ার পর খুব অনুপ্রাণিত করলো
এই খবরটা দেখার পর মনটা ভালো করে দিল,happy,এই খবরটা দেখার পর মনটা ভালো করে দিল
এই ব্লগটা আজকাল কিছু করতে ইচ্ছা করে না,depression,এই ব্লগটা আজকাল কিছু করতে ইচ্ছা করে না
এই গল্পটা কমেন্ট পড়ার পর খুবই সুন্দর,happy,এই গল্পটা কমেন্ট পড়ার পর খুবই সুন্দর
এই খবরটা সত্যি বলতে দারুণ লেগেছে,happy,এই খবরটা সত্যি বলতে দারুণ লেগেছে
এই ব্লগটা আজ ঠিকই আছে,neutral,এই ব্লগটা আজ ঠিকই আছে
এই গল্পটা ভাবতে বসে ঠিকই আছে,neutral,এই গল্পটা ভাবতে বসে ঠিকই আছে
এই বিষয়টা পুরোটা দেখে খুবই দুঃখজনক,sad,এই বিষয়টা পুরোটা দেখে খুবই দুঃখজনক
এই বিষয়টা ভাবতে বসে খুব ভালো লাগলো,happy,এই বিষয়টা ভাবতে বসে খুব ভালো লাগলো
কমেন্টগুলো দেখার পর নিজেকে খুব একা মনে হয়,depression,কমেন্টগুলো দেখার পর নিজেকে খুব একা মনে হয়
আজকে কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে,depression,আজকে কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে
এই বিষয়টা ভাবতে বসে মনে হয় কেউ বোঝে না,depression,এই বিষয়টা ভাবতে বসে মনে হয় কেউ বোঝে না
আজকে শেষ পর্যন্ত মন খারাপ হয়ে গেল,sad,আজকে শেষ পর্যন্ত মন খারাপ হয়ে গেল
এই গল্পটা সত্যি বলতে আরও জানা দরকার,neutral,এই গল্পটা সত্যি বলতে আরও জানা দরকার
এই বিষয়টা দেখার পর খুব অনুপ্রাণিত করলো,happy,এই বিষয়টা দেখার পর খুব অনুপ্রাণিত করলো
এই ব্লগটা আজকাল পড়লাম,neutral,এই ব্লগটা আজকাল পড়লাম
এই ব্লগটা আজকাল নোট করলাম,neutral,এই ব্লগটা আজকাল নোট করলাম
কমেন্টগুলো আজ হতাশ লাগছে,sad,কমেন্টগুলো আজ হতাশ লাগছে
কমেন্টগুলো আজকাল দারুণ কাজ,happy,কমেন্টগুলো আজকাল দারুণ কাজ
এই গল্পটা শেষ পর্যন্ত খুব কষ্ট লাগলো,sad,এই গল্পটা শেষ পর্যন্ত খুব কষ্ট লাগলো
এই খবরটা আজকাল কিছু করতে ইচ্ছা করে না,depression,এই খবরটা আজকাল কিছু করতে ইচ্ছা করে না
এই ব্লগটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression,এই ব্লগটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না
এই পোস্টটা সত্যি বলতে ভবিষ্যৎটা অন্ধকার লাগে,depression,এই পোস্টটা সত্যি বলতে ভবিষ্যৎটা অন্ধকার লাগে
