text,label
আজকের দিনটা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে,depression
এই গল্পটা পুরোটা দেখে দুঃখ পেলাম,sad
ভিডিওটা কমেন্ট পড়ার পর দুঃখ পেলাম,sad
আজকে শেষ পর্যন্ত ঠিক আছে,neutral
এই খবরটা দেখার পর দারুণ লেগেছে,happy
এই খবরটা পুরোটা দেখে পড়লাম,neutral
এই ব্লগটা শেষ পর্যন্ত খুব কষ্ট লাগলো,sad
এই বিষয়টা আজকাল কিছু করতে ইচ্ছা করে না,depression
এই পোস্টটা সত্যি বলতে কোনো আগ্রহ পাই না,depression
আজকে শেষ পর্যন্ত পড়লাম,neutral
ভিডিওটা কমেন্ট পড়ার পর অসাধারণ হয়েছে,happy
এই টপিকটা আজকাল ভবিষ্যৎটা অন্ধকার লাগে,depression
কমেন্টগুলো পুরোটা দেখে সত্যিই উপভোগ করেছি,happy
এই টপিকটা দেখার পর বুঝতে চেষ্টা করছি,neutral
আজকে আজকাল অসাধারণ হয়েছে,happy
কমেন্টগুলো আজ খারাপ লাগছে,sad
আজকের দিনটা কমেন্ট পড়ার পর খুব ভালো লাগলো,happy
এই খবরটা আজকাল খারাপ খবর মনে হলো,sad
কমেন্টগুলো শেষ পর্যন্ত দুঃখ পেলাম,sad
ভিডিওটা পুরোটা দেখে মোটামুটি লাগলো,neutral
এই গল্পটা আজ খুব কষ্ট লাগলো,sad
এই বিষয়টা দেখার পর দুঃখ পেলাম,sad
এই বিষয়টা আজ অসাধারণ হয়েছে,happy
এই গল্পটা সত্যি বলতে ঠিক আছে,neutral
এই পোস্টটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে,depression
এই টপিকটা আজকাল দুঃখ পেলাম,sad
এই টপিকটা শেষ পর্যন্ত অনেক আনন্দ দিল,happy
আজকের দিনটা আজকাল খুবই দুঃখজনক,sad
এই ব্লগটা আজকাল দুঃখ পেলাম,sad
এই গল্পটা আজকাল আরও জানা দরকার,neutral
কমেন্টগুলো সত্যি বলতে মনটা খারাপ করে দিল,sad
এই খবরটা আজকাল মোটামুটি লাগলো,neutral
এই খবরটা কমেন্ট পড়ার পর খুব অনুপ্রাণিত করলো,happy
আজকের দিনটা আজ খুব কষ্ট লাগলো,sad
এই টপিকটা দেখার পর কিছুই ভালো লাগে না,depression
এই ব্লগটা দেখার পর খারাপ লাগছে,sad
ভিডিওটা দেখার পর খারাপ লাগছে,sad
এই পোস্টটা দেখার পর দুঃখ পেলাম,sad
আজকে শেষ পর্যন্ত সবকিছু খুব ভারী লাগে,depression
আজকে শেষ পর্যন্ত খুব কষ্ট লাগলো,sad
এই পোস্টটা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে,depression
কমেন্টগুলো ভাবতে বসে দারুণ লেগেছে,happy
এই খবরটা আজ সবকিছু খুব ভারী লাগে,depression
আজকের দিনটা দেখার পর অনেক আনন্দ দিল,happy
আজকে কমেন্ট পড়ার পর কিছু করতে ইচ্ছা করে না,depression
এই পোস্টটা ভাবতে বসে সবকিছু অর্থহীন লাগে,depression
কমেন্টগুলো কমেন্ট পড়ার পর মাঝামাঝি মনে হলো,neutral
এই ব্লগটা কমেন্ট পড়ার পর সবকিছু অর্থহীন লাগে,depression
এই গল্পটা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে,depression
এই ব্লগটা শেষ পর্যন্ত সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
এই ব্লগটা আজকাল ভীষণ পছন্দ হয়েছে,happy
কমেন্টগুলো সত্যি বলতে খুব অনুপ্রাণিত করলো,happy
এই বিষয়টা শেষ পর্যন্ত আরও জানা দরকার,neutral
এই বিষয়টা কমেন্ট পড়ার পর ঠিকই আছে,neutral
এই বিষয়টা সত্যি বলতে খুব ভালো লাগলো,happy
কমেন্টগুলো দেখার পর পড়লাম,neutral
এই খবরটা সত্যি বলতে খারাপ খবর মনে হলো,sad
আজকের দিনটা দেখার পর মাঝামাঝি মনে হলো,neutral
এই গল্পটা আজকাল খারাপ না,neutral
আজকে পুরোটা দেখে কিছুই ভালো লাগে না,depression
এই টপিকটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression
এই টপিকটা সত্যি বলতে কিছুই ভালো লাগে না,depression
এই বিষয়টা শেষ পর্যন্ত খুব ভালো লাগলো,happy
এই গল্পটা ভাবতে বসে খারাপ না,neutral
এই বিষয়টা দেখার পর মাঝামাঝি মনে হলো,neutral
আজকে আজ ঠিকই আছে,neutral
এই খবরটা কমেন্ট পড়ার পর দেখলাম,neutral
আজকের দিনটা দেখার পর কোনো আগ্রহ পাই না,depression
আজকের দিনটা পুরোটা দেখে মনটা ভারী হয়ে গেল,sad
এই পোস্টটা পুরোটা দেখে খুবই দুঃখজনক,sad
এই খবরটা ভাবতে বসে মনটা ভালো করে দিল,happy
কমেন্টগুলো শেষ পর্যন্ত ভীষণ পছন্দ হয়েছে,happy
কমেন্টগুলো পুরোটা দেখে মাঝামাঝি মনে হলো,neutral
এই গল্পটা শেষ পর্যন্ত নিজেকে খুব একা মনে হয়,depression
এই টপিকটা আজকাল খারাপ খবর মনে হলো,sad
এই পোস্টটা আজকাল আরও জানা দরকার,neutral
এই গল্পটা সত্যি বলতে বুঝতে চেষ্টা করছি,neutral
এই ব্লগটা পুরোটা দেখে সত্যিই উপভোগ করেছি,happy
এই গল্পটা ভাবতে বসে খারাপ লাগছে,sad
কমেন্টগুলো পুরোটা দেখে সবকিছু খুব ভারী লাগে,depression
আজকের দিনটা সত্যি বলতে খারাপ খবর মনে হলো,sad
ভিডিওটা আজকাল খুবই দুঃখজনক,sad
ভিডিওটা আজ সবকিছু খুব ভারী লাগে,depression
এই ব্লগটা কমেন্ট পড়ার পর অনেক আনন্দ দিল,happy
আজকের দিনটা সত্যি বলতে অসাধারণ হয়েছে,happy
এই ব্লগটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad
এই ব্লগটা দেখার পর খুব কষ্ট লাগলো,sad
এই পোস্টটা পুরোটা দেখে মন খারাপ হয়ে গেল,sad
কমেন্টগুলো ভাবতে বসে নিজেকে খুব একা মনে হয়,depression
আজকের দিনটা দেখার পর খুবই সুন্দর,happy
এই বিষয়টা আজ খুবই সুন্দর,happy
এই ব্লগটা কমেন্ট পড়ার পর ঠিক আছে,neutral
কমেন্টগুলো দেখার পর জীবনটা খুব ফাঁকা লাগে,depression
আজকে আজকাল হতাশ লাগছে,sad
কমেন্টগুলো ভাবতে বসে ঠিকই আছে,neutral
এই গল্পটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral
এই গল্পটা ভাবতে বসে হতাশ লাগছে,sad
এই গল্পটা ভাবতে বসে মনটা ভারী হয়ে গেল,sad
এই গল্পটা আজ দারুণ কাজ,happy
এই খবরটা আজ কিছু করতে ইচ্ছা করে না,depression
এই খবরটা পুরোটা দেখে ঠিক আছে,neutral
এই খবরটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে,depression
এই বিষয়টা সত্যি বলতে অসাধারণ হয়েছে,happy
এই ব্লগটা সত্যি বলতে ভীষণ পছন্দ হয়েছে,happy
এই বিষয়টা সত্যি বলতে দারুণ কাজ,happy
আজকের দিনটা ভাবতে বসে নিজেকে খুব একা মনে হয়,depression
এই খবরটা শেষ পর্যন্ত কোনো আগ্রহ পাই না,depression
এই ব্লগটা আজ দারুণ কাজ,happy
ভিডিওটা সত্যি বলতে সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
এই পোস্টটা ভাবতে বসে মনটা ভারী হয়ে গেল,sad
এই ব্লগটা সত্যি বলতে মাঝামাঝি মনে হলো,neutral
এই টপিকটা দেখার পর সত্যিই উপভোগ করেছি,happy
কমেন্টগুলো ভাবতে বসে মোটামুটি লাগলো,neutral
এই ব্লগটা সত্যি বলতে খুব কষ্ট লাগলো,sad
ভিডিওটা কমেন্ট পড়ার পর খুব অনুপ্রাণিত করলো,happy
এই খবরটা দেখার পর মনটা ভালো করে দিল,happy
এই ব্লগটা আজকাল কিছু করতে ইচ্ছা করে না,depression
এই গল্পটা কমেন্ট পড়ার পর খুবই সুন্দর,happy
এই খবরটা সত্যি বলতে দারুণ লেগেছে,happy
এই ব্লগটা আজ ঠিকই আছে,neutral
এই গল্পটা ভাবতে বসে ঠিকই আছে,neutral
এই বিষয়টা পুরোটা দেখে খুবই দুঃখজনক,sad
এই বিষয়টা ভাবতে বসে খুব ভালো লাগলো,happy
কমেন্টগুলো দেখার পর নিজেকে খুব একা মনে হয়,depression
আজকে কমেন্ট পড়ার পর জীবনটা খুব ফাঁকা লাগে,depression
এই বিষয়টা ভাবতে বসে মনে হয় কেউ বোঝে না,depression
আজকে শেষ পর্যন্ত মন খারাপ হয়ে গেল,sad
এই গল্পটা সত্যি বলতে আরও জানা দরকার,neutral
এই বিষয়টা দেখার পর খুব অনুপ্রাণিত করলো,happy
এই ব্লগটা আজকাল পড়লাম,neutral
এই ব্লগটা আজকাল নোট করলাম,neutral
কমেন্টগুলো আজ হতাশ লাগছে,sad
কমেন্টগুলো আজকাল দারুণ কাজ,happy
এই গল্পটা শেষ পর্যন্ত খুব কষ্ট লাগলো,sad
এই খবরটা আজকাল কিছু করতে ইচ্ছা করে না,depression
এই ব্লগটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression
এই পোস্টটা সত্যি বলতে ভবিষ্যৎটা অন্ধকার লাগে,depression
ভিডিওটা শেষ পর্যন্ত নিজেকে খুব একা মনে হয়,depression
আজকে কমেন্ট পড়ার পর মনটা খারাপ করে দিল,sad
এই বিষয়টা শেষ পর্যন্ত মনে হয় কেউ বোঝে না,depression
আজকের দিনটা আজকাল মনটা খারাপ করে দিল,sad
এই বিষয়টা দেখার পর মনটা খারাপ করে দিল,sad
এই বিষয়টা সত্যি বলতে মনটা ভালো করে দিল,happy
এই ব্লগটা শেষ পর্যন্ত কিছু করতে ইচ্ছা করে না,depression
এই বিষয়টা সত্যি বলতে মোটামুটি লাগলো,neutral
এই পোস্টটা শেষ পর্যন্ত সবকিছু অর্থহীন লাগে,depression
আজকে শেষ পর্যন্ত মোটামুটি লাগলো,neutral
কমেন্টগুলো আজ অনেক আনন্দ দিল,happy
কমেন্টগুলো সত্যি বলতে খারাপ লাগছে,sad
এই খবরটা আজ খারাপ না,neutral
এই ব্লগটা শেষ পর্যন্ত খারাপ না,neutral
আজকে আজকাল মনে হয় কেউ বোঝে না,depression
এই টপিকটা কমেন্ট পড়ার পর দেখলাম,neutral
আজকে দেখার পর মনে হয় কেউ বোঝে না,depression
আজকে ভাবতে বসে জীবনটা খুব ফাঁকা লাগে,depression
এই বিষয়টা আজকাল সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
আজকে আজ ভীষণ পছন্দ হয়েছে,happy
এই পোস্টটা আজ ভালো লাগেনি,sad
ভিডিওটা পুরোটা দেখে আরও জানা দরকার,neutral
এই ব্লগটা ভাবতে বসে সত্যিই উপভোগ করেছি,happy
এই বিষয়টা শেষ পর্যন্ত জীবনটা খুব ফাঁকা লাগে,depression
আজকে পুরোটা দেখে কোনো আগ্রহ পাই না,depression
এই গল্পটা সত্যি বলতে মনটা ভারী হয়ে গেল,sad
এই ব্লগটা কমেন্ট পড়ার পর মনটা ভারী হয়ে গেল,sad
এই পোস্টটা আজকাল খুব ভালো লাগলো,happy
এই পোস্টটা সত্যি বলতে নিজেকে খুব একা মনে হয়,depression
এই পোস্টটা কমেন্ট পড়ার পর আরও জানা দরকার,neutral
আজকের দিনটা আজ খুব ভালো লাগলো,happy
ভিডিওটা শেষ পর্যন্ত খুব কষ্ট লাগলো,sad
এই ব্লগটা আজ কিছু করতে ইচ্ছা করে না,depression
এই ব্লগটা আজকাল কোনো আগ্রহ পাই না,depression
ভিডিওটা দেখার পর খুব ভালো লাগলো,happy
ভিডিওটা কমেন্ট পড়ার পর খুবই দুঃখজনক,sad
এই গল্পটা সত্যি বলতে সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
এই ব্লগটা সত্যি বলতে খুব অনুপ্রাণিত করলো,happy
এই ব্লগটা শেষ পর্যন্ত খুবই দুঃখজনক,sad
এই পোস্টটা পুরোটা দেখে আরও জানা দরকার,neutral
এই গল্পটা আজ খুব ভালো লাগলো,happy
আজকের দিনটা কমেন্ট পড়ার পর সবকিছু অর্থহীন লাগে,depression
এই টপিকটা আজকাল খুব কষ্ট লাগলো,sad
আজকের দিনটা আজ মনে হয় কেউ বোঝে না,depression
এই টপিকটা শেষ পর্যন্ত ঠিকই আছে,neutral
কমেন্টগুলো পুরোটা দেখে দেখলাম,neutral
এই টপিকটা কমেন্ট পড়ার পর কিছু করতে ইচ্ছা করে না,depression
ভিডিওটা সত্যি বলতে জীবনটা খুব ফাঁকা লাগে,depression
এই টপিকটা দেখার পর মোটামুটি লাগলো,neutral
আজকের দিনটা আজকাল মাঝামাঝি মনে হলো,neutral
কমেন্টগুলো ভাবতে বসে খুবই সুন্দর,happy
এই গল্পটা আজ ভীষণ পছন্দ হয়েছে,happy
এই পোস্টটা কমেন্ট পড়ার পর খারাপ খবর মনে হলো,sad
এই টপিকটা ভাবতে বসে পড়লাম,neutral
ভিডিওটা সত্যি বলতে ঠিকই আছে,neutral
এই পোস্টটা আজকাল খারাপ খবর মনে হলো,sad
এই ব্লগটা ভাবতে বসে সবকিছু অর্থহীন লাগে,depression
এই টপিকটা দেখার পর ঠিক আছে,neutral
কমেন্টগুলো পুরোটা দেখে মনটা ভারী হয়ে গেল,sad
এই গল্পটা পুরোটা দেখে দারুণ কাজ,happy
এই গল্পটা ভাবতে বসে অসাধারণ হয়েছে,happy
আজকের দিনটা সত্যি বলতে কিছু করতে ইচ্ছা করে না,depression
এই খবরটা শেষ পর্যন্ত কিছুই ভালো লাগে না,depression
কমেন্টগুলো সত্যি বলতে খারাপ না,neutral
এই বিষয়টা আজ মাঝামাঝি মনে হলো,neutral
এই টপিকটা ভাবতে বসে সত্যিই উপভোগ করেছি,happy
আজকে আজ বুঝতে চেষ্টা করছি,neutral
এই ব্লগটা আজকাল সবকিছু খুব ভারী লাগে,depression
এই পোস্টটা আজ দুঃখ পেলাম,sad
এই টপিকটা ভাবতে বসে ঠিকই আছে,neutral
এই খবরটা কমেন্ট পড়ার পর সবকিছু অর্থহীন লাগে,depression
এই বিষয়টা কমেন্ট পড়ার পর খুব ভালো লাগলো,happy
ভিডিওটা শেষ পর্যন্ত কিছুই ভালো লাগে না,depression
আজকে দেখার পর খারাপ না,neutral
এই বিষয়টা শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে,depression
এই টপিকটা আজকাল ভীষণ পছন্দ হয়েছে,happy
এই টপিকটা শেষ পর্যন্ত ভীষণ পছন্দ হয়েছে,happy
এই খবরটা ভাবতে বসে খারাপ লাগছে,sad
ভিডিওটা আজকাল সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
ভিডিওটা আজকাল মনটা খারাপ করে দিল,sad
এই খবরটা আজকাল নিজেকে খুব একা মনে হয়,depression
এই ব্লগটা কমেন্ট পড়ার পর দারুণ লেগেছে,happy
আজকে সত্যি বলতে খারাপ খবর মনে হলো,sad
এই টপিকটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral
কমেন্টগুলো কমেন্ট পড়ার পর কোনো আগ্রহ পাই না,depression
ভিডিওটা পুরোটা দেখে নোট করলাম,neutral
এই টপিকটা পুরোটা দেখে খুবই সুন্দর,happy
এই খবরটা ভাবতে বসে মনটা খারাপ করে দিল,sad
এই ব্লগটা শেষ পর্যন্ত ঠিক আছে,neutral
আজকের দিনটা শেষ পর্যন্ত অনেক আনন্দ দিল,happy
এই গল্পটা সত্যি বলতে খুবই দুঃখজনক,sad
কমেন্টগুলো কমেন্ট পড়ার পর সবকিছু অর্থহীন লাগে,depression
আজকের দিনটা দেখার পর খারাপ খবর মনে হলো,sad
এই খবরটা সত্যি বলতে মনটা ভালো করে দিল,happy
ভিডিওটা আজ ভবিষ্যৎটা অন্ধকার লাগে,depression
আজকে আজকাল ঠিক আছে,neutral
আজকে শেষ পর্যন্ত খারাপ খবর মনে হলো,sad
এই বিষয়টা পুরোটা দেখে জীবনটা খুব ফাঁকা লাগে,depression
এই ব্লগটা কমেন্ট পড়ার পর দুঃখ পেলাম,sad
আজকের দিনটা পুরোটা দেখে নিজেকে খুব একা মনে হয়,depression
এই ব্লগটা আজ খুব ভালো লাগলো,happy
আজকের দিনটা দেখার পর দারুণ কাজ,happy
আজকে আজকাল ভালো লাগেনি,sad
কমেন্টগুলো আজ মোটামুটি লাগলো,neutral
আজকের দিনটা কমেন্ট পড়ার পর দেখলাম,neutral
কমেন্টগুলো দেখার পর খুব কষ্ট লাগলো,sad
এই খবরটা পুরোটা দেখে খুব ভালো লাগলো,happy
এই গল্পটা ভাবতে বসে আরও জানা দরকার,neutral
এই পোস্টটা পুরোটা দেখে খারাপ লাগছে,sad
এই গল্পটা পুরোটা দেখে সত্যিই উপভোগ করেছি,happy
এই টপিকটা শেষ পর্যন্ত খুবই সুন্দর,happy
আজকের দিনটা ভাবতে বসে জীবনটা খুব ফাঁকা লাগে,depression
এই টপিকটা পুরোটা দেখে ভবিষ্যৎটা অন্ধকার লাগে,depression
এই খবরটা আজকাল অনেক আনন্দ দিল,happy
এই টপিকটা কমেন্ট পড়ার পর অসাধারণ হয়েছে,happy
আজকের দিনটা পুরোটা দেখে মনটা খারাপ করে দিল,sad
এই ব্লগটা দেখার পর দারুণ লেগেছে,happy
এই গল্পটা সত্যি বলতে হতাশ লাগছে,sad
আজকের দিনটা কমেন্ট পড়ার পর দারুণ কাজ,happy
এই ব্লগটা শেষ পর্যন্ত সবকিছু খুব ভারী লাগে,depression
এই বিষয়টা সত্যি বলতে দেখলাম,neutral
এই পোস্টটা ভাবতে বসে ভালো লাগেনি,sad
আজকে শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral
ভিডিওটা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
ভিডিওটা ভাবতে বসে অসাধারণ হয়েছে,happy
এই ব্লগটা শেষ পর্যন্ত মনটা খারাপ করে দিল,sad
ভিডিওটা সত্যি বলতে নিজেকে খুব একা মনে হয়,depression
কমেন্টগুলো পুরোটা দেখে মনটা খারাপ করে দিল,sad
এই টপিকটা আজ মাঝামাঝি মনে হলো,neutral
এই বিষয়টা পুরোটা দেখে ঠিকই আছে,neutral
আজকের দিনটা দেখার পর ভবিষ্যৎটা অন্ধকার লাগে,depression
ভিডিওটা কমেন্ট পড়ার পর কিছুই ভালো লাগে না,depression
এই বিষয়টা দেখার পর নিজেকে খুব একা মনে হয়,depression
এই ব্লগটা দেখার পর খুব ভালো লাগলো,happy
ভিডিওটা ভাবতে বসে জীবনটা খুব ফাঁকা লাগে,depression
এই বিষয়টা আজকাল খুব অনুপ্রাণিত করলো,happy
এই বিষয়টা আজকাল জীবনটা খুব ফাঁকা লাগে,depression
এই পোস্টটা শেষ পর্যন্ত বুঝতে চেষ্টা করছি,neutral
কমেন্টগুলো আজকাল খারাপ লাগছে,sad
এই বিষয়টা সত্যি বলতে খুবই সুন্দর,happy
এই খবরটা ভাবতে বসে খুব কষ্ট লাগলো,sad
এই টপিকটা পুরোটা দেখে মনটা ভারী হয়ে গেল,sad
এই খবরটা সত্যি বলতে খুব কষ্ট লাগলো,sad
কমেন্টগুলো ভাবতে বসে দেখলাম,neutral
কমেন্টগুলো শেষ পর্যন্ত ভবিষ্যৎটা অন্ধকার লাগে,depression
ভিডিওটা সত্যি বলতে মনটা খারাপ করে দিল,sad
আজকে ভাবতে বসে সত্যিই উপভোগ করেছি,happy
এই টপিকটা সত্যি বলতে নিজেকে খুব একা মনে হয়,depression
এই গল্পটা কমেন্ট পড়ার পর খুব ভালো লাগলো,happy
এই বিষয়টা আজ অনেক আনন্দ দিল,happy
কমেন্টগুলো ভাবতে বসে সবকিছু খুব ভারী লাগে,depression
আজকে শেষ পর্যন্ত দেখলাম,neutral
ভিডিওটা ভাবতে বসে কিছু করতে ইচ্ছা করে না,depression
কমেন্টগুলো কমেন্ট পড়ার পর নোট করলাম,neutral
এই খবরটা সত্যি বলতে ঠিক আছে,neutral
এই খবরটা আজ খুব অনুপ্রাণিত করলো,happy
এই পোস্টটা আজকাল মনটা খারাপ করে দিল,sad
এই বিষয়টা ভাবতে বসে মনটা খারাপ করে দিল,sad
আজকের দিনটা কমেন্ট পড়ার পর মনটা ভালো করে দিল,happy
ভিডিওটা আজকাল মনটা ভারী হয়ে গেল,sad
এই পোস্টটা শেষ পর্যন্ত কিছুই ভালো লাগে না,depression
এই বিষয়টা আজকাল অসাধারণ হয়েছে,happy
আজকে দেখার পর সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
এই গল্পটা আজ সবকিছু ছেড়ে দিতে ইচ্ছা করে,depression
ভিডিওটা কমেন্ট পড়ার পর হতাশ লাগছে,sad
ভিডিওটা ভাবতে বসে মনটা ভারী হয়ে গেল,sad
এই ব্লগটা পুরোটা দেখে খারাপ লাগছে,sad
আজকের দিনটা ভাবতে বসে নোট করলাম,neutral
এই গল্পটা সত্যি বলতে নোট করলাম,neutral
আজকে পুরোটা দেখে মাঝামাঝি মনে হলো,neutral
আজকে সত্যি বলতে সবকিছু অর্থহীন লাগে,depression
ভিডিওটা কমেন্ট পড়ার পর ভীষণ পছন্দ হয়েছে,happy
এই গল্পটা কমেন্ট পড়ার পর অসাধারণ হয়েছে,happy
এই গল্পটা পুরোটা দেখে খুবই দুঃখজনক,sad
এই বিষয়টা সত্যি বলতে ভবিষ্যৎটা অন্ধকার লাগে,depression
এই পোস্টটা আজ অসাধারণ হয়েছে,happy
এই বিষয়টা সত্যি বলতে কিছু করতে ইচ্ছা করে না,depression
এই গল্পটা শেষ পর্যন্ত হতাশ লাগছে,sad
কমেন্টগুলো কমেন্ট পড়ার পর ভালো লাগেনি,sad
আজকে আজ পড়লাম,neutral
এই বিষয়টা পুরোটা দেখে মোটামুটি লাগলো,neutral
এই টপিকটা আজ খুবই দুঃখজনক,sad
এই গল্পটা দেখার পর নিজেকে খুব একা মনে হয়,depression
এই খবরটা শেষ পর্যন্ত খুব কষ্ট লাগলো,sad
এই বিষয়টা পুরোটা দেখে সবকিছু খুব ভারী লাগে,depression
এই ব্লগটা দেখার পর মনটা ভারী হয়ে গেল,sad
এই বিষয়টা ভাবতে বসে সবকিছু অর্থহীন লাগে,depression
আজকের দিনটা পুরোটা দেখে অসাধারণ হয়েছে,happy
এই ব্লগটা সত্যি বলতে দুঃখ পেলাম,sad
এই গল্পটা ভাবতে বসে পড়লাম,neutral
